learning_rate,m,n,mu,rho,alpha,num_iters,train_loss,test_loss,best_train_loss,best_test_loss,train_corr,test_corr,best_train_corr,best_test_corr,model
0.01,103,103,0.4444555555555556,0.05564444444444444,1.8,40000,0.04339303821325302,0.051909711211919785,0.04339303821325302,0.05116880685091019,0.9578519541188836,0.4135222501187311,0.9578519541188836,0.4998570481496278,rf
0.01,103,103,0.4444555555555556,0.0001,1.8,40000,0.0436096265912056,0.05187292769551277,0.0436096265912056,0.05136645585298538,0.9531353369428652,0.41612459838925103,0.9531353369428652,0.4723674842529621,rf
0.01,103,103,0.3889111111111111,0.5,1.8,40000,0.04223444312810898,0.051765095442533486,0.04223444312810898,0.050959691405296326,0.9613448908300776,0.4173808717331422,0.9613448908300776,0.500656614001815,rf
0.01,103,103,0.3889111111111111,0.4444555555555556,1.8,40000,0.04223479330539704,0.05176490545272827,0.04223479330539704,0.050952427089214325,0.9613363473881454,0.4173819586198009,0.9613363473881454,0.501959350912602,rf
0.01,103,103,0.3889111111111111,0.3889111111111111,1.8,40000,0.042235463857650764,0.05176498368382454,0.042235463857650764,0.0509360171854496,0.961329893835034,0.417322449549219,0.961329893835034,0.5036730541169033,rf
0.01,103,103,0.3889111111111111,0.3333666666666667,1.8,40000,0.04223641380667687,0.051764752715826035,0.04223641380667687,0.05091380327939987,0.9613168514040978,0.4173375782390689,0.9613168514040978,0.5058199185190349,rf
0.01,103,103,0.3889111111111111,0.2778222222222222,1.8,40000,0.04223610833287239,0.051764585077762604,0.04223610833287239,0.050890129059553146,0.9613135682226338,0.4173472739005968,0.9613135682226338,0.5084338512972083,rf
0.01,103,103,0.3889111111111111,0.2222777777777778,1.8,40000,0.04223620146512985,0.0517646074295044,0.04223620146512985,0.05086946487426758,0.9613207731500164,0.4173460863838575,0.9613207731500164,0.5114860836867161,rf
0.01,103,103,0.3889111111111111,0.16673333333333334,1.8,40000,0.04223671555519104,0.05176418274641037,0.04223671555519104,0.050859853625297546,0.9613253459661584,0.4173719629461386,0.9613253459661584,0.513053237246654,rf
0.01,103,103,0.3889111111111111,0.11118888888888888,1.8,40000,0.04223858565092087,0.05176323652267456,0.04223858565092087,0.05087561160326004,0.9613166348148722,0.4175126833986795,0.9613166348148722,0.5106502798108784,rf
0.01,103,103,0.3889111111111111,0.05564444444444444,1.8,40000,0.042240709066390984,0.05176293477416039,0.042240709066390984,0.05091376975178719,0.9612066184712246,0.4175240277439482,0.9612066184712246,0.5060231558051094,rf
0.01,103,103,0.3889111111111111,0.0001,1.8,40000,0.042484868317842484,0.05172116309404373,0.042484868317842484,0.0511312261223793,0.9565302826307291,0.4199861488708547,0.9565302826307291,0.4786695444003928,rf
0.01,103,103,0.3333666666666667,0.5,1.8,40000,0.04079743847250938,0.05158843472599983,0.04079743847250938,0.05064887180924416,0.9651465592250306,0.4220320735594208,0.9651465592250306,0.5078446460078636,rf
0.01,103,103,0.3333666666666667,0.4444555555555556,1.8,40000,0.04079799726605415,0.05158821120858192,0.04079799726605415,0.0506402850151062,0.9651416344148751,0.42202123495394733,0.9651416344148751,0.508987339841765,rf
0.01,103,103,0.3333666666666667,0.3889111111111111,1.8,40000,0.040798645466566086,0.05158831179141998,0.040798645466566086,0.05062389746308327,0.9651359134684018,0.4219746599280837,0.9651359134684018,0.5105372598390409,rf
0.01,103,103,0.3333666666666667,0.3333666666666667,1.8,40000,0.040799561887979514,0.051587972790002816,0.040799561887979514,0.05059906840324402,0.9651241220780205,0.4219907242535717,0.9651241220780205,0.5125696423395655,rf
0.01,103,103,0.3333666666666667,0.2778222222222222,1.8,40000,0.040799424052238464,0.05158745124936104,0.040799424052238464,0.05057134479284287,0.9651134447176508,0.4220395179762916,0.9651134447176508,0.5151419975747379,rf
0.01,103,103,0.3333666666666667,0.2222777777777778,1.8,40000,0.040799330919981,0.051587656140327454,0.040799330919981,0.05054618418216705,0.9651202378722771,0.4220034594883077,0.9651202378722771,0.5182864569168851,rf
0.01,103,103,0.3333666666666667,0.16673333333333334,1.8,40000,0.0408000722527504,0.051587164402008064,0.0408000722527504,0.05053247511386871,0.9651246581137024,0.42204905752864574,0.9651246581137024,0.5203213790165871,rf
0.01,103,103,0.3333666666666667,0.11118888888888888,1.8,40000,0.04080215096473694,0.05158616229891777,0.04080215096473694,0.05054626613855362,0.9651115294818664,0.4221637394473943,0.9651115294818664,0.5181752803394075,rf
0.01,103,103,0.3333666666666667,0.05564444444444444,1.8,40000,0.04080450162291527,0.051585808396339417,0.04080450162291527,0.05059633031487465,0.9650251099811994,0.42221203207396224,0.9650251099811994,0.5129364537138644,rf
0.01,103,103,0.3333666666666667,0.0001,1.8,40000,0.04108397290110588,0.05153761431574822,0.04108397290110588,0.050837598741054535,0.9603951274103582,0.4244788460760392,0.9603951274103582,0.4861957297631495,rf
0.01,103,103,0.2778222222222222,0.5,1.8,40000,0.03895485028624535,0.051370877772569656,0.03895485028624535,0.05024877563118935,0.9694961698709008,0.427579300033393,0.9694961698709008,0.5166750402781846,rf
0.01,103,103,0.2778222222222222,0.4444555555555556,1.8,40000,0.0389554463326931,0.051370792090892785,0.0389554463326931,0.05023748055100441,0.9694985861881222,0.4275313156749136,0.9694985861881222,0.5177049369272942,rf
0.01,103,103,0.2778222222222222,0.3889111111111111,1.8,40000,0.0389559231698513,0.05137074366211891,0.0389559231698513,0.05022066459059715,0.9694954757150376,0.4274986904100356,0.9694954757150376,0.5190269891627346,rf
0.01,103,103,0.2778222222222222,0.3333666666666667,1.8,40000,0.03895686566829682,0.051370151340961456,0.03895686566829682,0.05019429698586464,0.9694844414804517,0.4275245449187625,0.9694844414804517,0.5208377114381879,rf
0.01,103,103,0.2778222222222222,0.2778222222222222,1.8,40000,0.03895705938339234,0.051369253545999534,0.03895705938339234,0.05016205832362175,0.9694707673545492,0.4276277190049332,0.9694707673545492,0.5232747572082329,rf
0.01,103,103,0.2778222222222222,0.2222777777777778,1.8,40000,0.038956724107265465,0.051369618624448776,0.038956724107265465,0.05013058707118034,0.969472683178748,0.4275527144525415,0.969472683178748,0.5264292250745406,rf
0.01,103,103,0.2778222222222222,0.16673333333333334,1.8,40000,0.038957629352808,0.051369097083806985,0.038957629352808,0.05011102557182312,0.9694782350527495,0.4276161472974538,0.9694782350527495,0.5288871141006224,rf
0.01,103,103,0.2778222222222222,0.11118888888888888,1.8,40000,0.03895992785692215,0.05136808007955551,0.03895992785692215,0.05012043938040733,0.9694636017861052,0.4276965398918272,0.9694636017861052,0.5271534168233054,rf
0.01,103,103,0.2778222222222222,0.05564444444444444,1.8,40000,0.0389627143740654,0.051367394626140594,0.0389627143740654,0.050187956541776664,0.9694086863031844,0.4277753944672005,0.9694086863031844,0.5210110816607281,rf
0.01,103,103,0.2778222222222222,0.0001,1.8,40000,0.03928815573453903,0.05131067335605621,0.03928815573453903,0.05046004429459572,0.9648444593578902,0.4297951585022965,0.9648444593578902,0.4952932968636959,rf
0.01,103,103,0.2222777777777778,0.5,1.8,40000,0.03650238364934921,0.05109572783112526,0.03650238364934921,0.049712371081113815,0.9745313098237168,0.4342850575578853,0.9745313098237168,0.5277209446407969,rf
0.01,103,103,0.2222777777777778,0.4444555555555556,1.8,40000,0.03650268167257309,0.05109569802880287,0.03650268167257309,0.04969530180096626,0.9745327668261076,0.4342237175168733,0.9745327668261076,0.528791664044613,rf
